Movie Title,Genre,Runtime (min),Box Office ($),Metacritic Rating,IMDb Rating,Release Year
Counter-Attack,"Drama, War",90 min,N/A,N/A,6.7,1945
Fresh from the Farm,"Comedy, Short",N/A,N/A,N/A,N/A,1921
Me and the Big Guy,"Comedy, Sci-Fi, Short",10 min,N/A,N/A,7.3,1999
Dream Machine,"Action, Comedy, Crime",88 min,N/A,N/A,5.1,1991
Fangs of the Wild,Drama,52 min,N/A,N/A,4.8,1939
Mystery Submarine,"Adventure, Crime, Drama",78 min,N/A,N/A,5.7,1950
Little Johnny Jones,"Comedy, Drama, Music",74 min,N/A,N/A,7.2,1929
The Great Redeemer,"Drama, Western",50 min,N/A,N/A,4.0,1920
Heldorado,"Drama, Music, Western",70 min,N/A,N/A,6.0,1946
Rio Rattler,Western,55 min,N/A,N/A,6.1,1935
The Son of the Wolf,"Action, Drama, Romance",50 min,N/A,N/A,N/A,1922
Swing the Western Way,"Comedy, Music, Western",66 min,N/A,N/A,3.5,1947
Mad Max: Fury Road,"Action, Adventure, Sci-Fi",120 min,"$154,280,290",90,8.1,2015
Song of the Range,"Drama, Music, Western",55 min,N/A,N/A,5.5,1944
Halloween 4: The Return of Michael Myers,"Horror, Thriller",88 min,"$17,768,757",34,5.8,1988
Our Man Flint,"Action, Adventure, Comedy",108 min,N/A,N/A,6.4,1966
Smooth as Silk,"Crime, Drama, Film-Noir",64 min,N/A,N/A,6.3,1946
Critic's Choice,Comedy,100 min,N/A,N/A,5.7,1963
Ernest Scared Stupid,"Comedy, Family, Fantasy",91 min,"$14,143,280",38,5.7,1991
Wildfire,"Drama, Family, Mystery",47S min,N/A,N/A,7.5,2005–2008
The Roommates Party,"Comedy, Drama",102 min,N/A,N/A,5.2,2015
Swat the Crook,"Comedy, Short",10 min,N/A,N/A,N/A,1919
Napoleon and the Empress Josephine,"Drama, Short",13 min,N/A,N/A,4.4,1909
Here I Am a Stranger,Drama,82 min,N/A,N/A,7.1,1939
Beyond All Odds,Drama,N/A,N/A,N/A,N/A,1926
Socket,"Drama, Horror, Romance",93 min,N/A,N/A,4.3,2007
Outlaw Women,Western,75 min,N/A,N/A,5.2,1952
The Caper of the Golden Bulls,"Action, Comedy",102 min,N/A,N/A,6.1,1967
The Lawnmower Man,"Horror, Sci-Fi",108 min,"$32,100,816",42,5.4,1992
Behind the Screen,"Short, Comedy, Romance",30 min,N/A,N/A,6.9,1916
Annihilation,"Adventure, Drama, Horror",115 min,"$32,732,301",79,6.8,2018
The Rush Hour,"Comedy, Drama",60 min,N/A,N/A,7.9,1927
Alias Jimmy Valentine,"Crime, Drama",65 min,N/A,N/A,6.6,1915
The Woman Under Cover,Drama,60 min,N/A,N/A,N/A,1919
Bad Day at Black Rock,"Crime, Drama, Mystery",81 min,N/A,N/A,7.7,1955
The Lion Man,Reality-TV,10 min,N/A,N/A,8.5,2004–
Duke of Chicago,Drama,61 min,N/A,N/A,7.9,1949
G.I. Jane,"Action, Drama, War",125 min,"$48,169,156",62,6.0,1997
Menace from Outer Space,"Adventure, Family, Sci-Fi",78 min,N/A,N/A,3.8,1956
Gone in the Night,"Mystery, Thriller",90 min,"$266,466",52,4.9,2022
Moving McAllister,"Adventure, Comedy, Romance",89 min,"$42,538",N/A,5.2,2007
Wandering Daughters,"Comedy, Drama",60 min,N/A,N/A,N/A,1923
Lilies of the Field,Drama,94 min,N/A,61,7.5,1963
Elvis and Anabelle,"Drama, Romance",106 min,N/A,N/A,7.1,2007
Esther and the King,"Biography, Drama, History",109 min,N/A,N/A,5.5,1960
The Tired Tailor's Dream,"Comedy, Fantasy, Short",7 min,N/A,N/A,5.8,1907
The Abyss,"Adventure, Drama, Mystery",140 min,"$54,981,151",62,7.5,1989
Stranger on Horseback,"Drama, Western",66 min,N/A,N/A,6.6,1955
The Adventurer: The Curse of the Midas Box,"Adventure, Family, Fantasy",100 min,"$6,399",39,5.5,2013
Mimic,"Horror, Sci-Fi",105 min,"$25,480,490",55,6.0,1997
The High Flyer,Action,N/A,N/A,N/A,N/A,1926
White Fang 2: Myth of the White Wolf,"Adventure, Family",106 min,"$8,878,839",N/A,5.4,1994
The Impossible Mrs. Bellew,Drama,80 min,"$139,455",N/A,6.2,1922
McQ,"Action, Crime, Drama",111 min,"$240,350",N/A,6.2,1974
Spellbound,"Film-Noir, Mystery, Romance",111 min,N/A,79,7.5,1945
Cancer Wars,Documentary,N/A,N/A,N/A,N/A,1997–
Megamind,"Animation, Action, Adventure",95 min,"$148,415,853",63,7.3,2010
Into the Storm,"Action, Adventure, Drama",89 min,"$47,615,959",44,5.8,2014
The Deerslayer,"Adventure, War, Western",78 min,N/A,N/A,5.4,1957
For Love of the Game,"Drama, Romance, Sport",137 min,"$35,188,640",43,6.6,1999
Full of Life,"Comedy, Drama",91 min,N/A,N/A,6.4,1956
Hello Mary Lou: Prom Night II,"Horror, Thriller",97 min,"$2,683,519",48,5.7,1987
Anna Lucasta,Drama,97 min,N/A,N/A,6.8,1958
Crossroads,"Comedy, Drama, Romance",93 min,"$37,581,825",27,3.7,2002
The Sainted Sisters,Comedy,89 min,N/A,N/A,6.4,1948
The Last Producer,"Comedy, Drama",90 min,N/A,N/A,4.6,2000
Festival in Cannes,Comedy,100 min,"$299,171",46,6.0,2001
The Fighting Guide,"Action, Adventure, Drama",50 min,N/A,N/A,N/A,1922
Burning Up Broadway,Drama,60 min,N/A,N/A,N/A,1928
Hard Times,"Crime, Drama, Sport",93 min,N/A,69,7.2,1975
That Forsyte Woman,"Drama, Romance",113 min,"$3,710,000",N/A,6.6,1949
The Unguarded Hour,"Crime, Drama",87 min,N/A,N/A,6.6,1936
Sylvia,"Biography, Drama, Romance",100 min,"$1,315,498",56,6.3,2003
Some Girls,"Comedy, Drama, Fantasy",94 min,"$401,421",N/A,5.7,1988
One Mile from Heaven,Drama,67 min,N/A,N/A,6.4,1937
1915,Drama,82 min,"$111,682",N/A,3.6,2015
Paper Lion,"Comedy, Sport",107 min,N/A,N/A,6.2,1968
The Long Goodbye,"Comedy, Crime, Drama",112 min,N/A,87,7.5,1973
Frontier Revenge,Western,56 min,N/A,N/A,7.1,1948
The Faith of the Strong,Drama,N/A,N/A,N/A,N/A,1919
A Successful Failure,Comedy,62 min,N/A,N/A,5.5,1934
The Tingler,"Horror, Sci-Fi",82 min,N/A,N/A,6.6,1959
I Am the Law,"Crime, Drama",83 min,N/A,N/A,6.6,1938
Yankee Doodle in Berlin,Comedy,58 min,N/A,N/A,5.5,1919
Jerry's Diary,"Animation, Short, Comedy",7 min,N/A,N/A,6.9,1949
China Gate,"Action, Adventure, Drama",175 min,N/A,N/A,6.5,1998
Morals for Men,Drama,N/A,N/A,N/A,N/A,1925
My Dearest Senorita,"Romance, Drama",80 min,N/A,N/A,7.1,1972
Room 6,"Horror, Mystery, Thriller",94 min,N/A,N/A,4.1,2006
